index : 3544, hash : 11748427643607363544, depth : 6, score : 595
index : 3377, hash : 1250904297954898377, depth : 6, score : 629
index : 1933, hash : 7186758122779076933, depth : 6, score : 636
index : 2139, hash : 110625841330037139, depth : 5, score : 624
index : 4179, hash : 8185248388131224179, depth : 7, score : 919
index : 3809, hash : 6136788401432078809, depth : 7, score : 1156
index : 982, hash : 3269572352345575982, depth : 6, score : 1166
index : 2259, hash : 13416302471155812259, depth : 6, score : 42
index : 2123, hash : 16385233433302877123, depth : 6, score : 9990
index : 4572, hash : 12256858988387959572, depth : 5, score : 9992
index : 1805, hash : 8895072816127481805, depth : 4, score : 9994
index : 2104, hash : 11109922501823737104, depth : 8, score : 122
index : 1477, hash : 6168972032379026477, depth : 8, score : 155
index : 802, hash : 14958531622343725802, depth : 8, score : 156
index : 1132, hash : 13121095061352586132, depth : 8, score : 166
index : 226, hash : 10840288094371080226, depth : 7, score : 171
index : 1407, hash : 16383194196628191407, depth : 7, score : 183
index : 4913, hash : 9132147230667914913, depth : 7, score : 170
index : 4263, hash : 9092735393709159263, depth : 7, score : 184
index : 1207, hash : 10576599964037171207, depth : 7, score : 156
index : 4763, hash : 5651730528291034763, depth : 7, score : 153
index : 2325, hash : 927099202611497325, depth : 7, score : 172
index : 3306, hash : 12062341167709038306, depth : 10, score : 242
index : 732, hash : 7964572587787050732, depth : 11, score : 257
index : 2295, hash : 6876334601967422295, depth : 10, score : 253
index : 1148, hash : 14538679254170876148, depth : 10, score : 261
index : 4360, hash : 1424683691675514360, depth : 10, score : 286
index : 1706, hash : 647744903553691706, depth : 10, score : 316
index : 4503, hash : 18017824824777874503, depth : 10, score : 322
index : 3814, hash : 5110416070217633814, depth : 9, score : 237
index : 2775, hash : 17788182781614482775, depth : 10, score : 738
index : 4455, hash : 6651990113739099455, depth : 11, score : 857
index : 3492, hash : 18218260869306973492, depth : 10, score : 861
index : 2495, hash : 7914169321919847495, depth : 10, score : 976
index : 2497, hash : 16784207856750297497, depth : 10, score : 1008
index : 3813, hash : 12639144282562568813, depth : 8, score : 1008
